Ordinateur Bureau,hp,elitedesk,1,czc5140n3x,RDC
écran,fujitsu,b22w-6,1,yv3u572741,RDC
Ordinateur portable,dell,latitude e6430,1,jwwmsy1,RDC
Ordinateur Bureau,hp,prodisk,1,czc6497qg9,RDC
écran,hp,zdisplay,1,3cq5302krt,RDC
Telephone IP,FANVIL,X210-V2,1,0C383E518F28,RDC
Ordinateur portable,dell,latitude e5550,1,fw3hj72,RDC
impriment,canon,i-sensys MF3010,1,ynk60463,RDC
Telephone IP,FANVIL,X5U-V2,1,0C383E32B1F7,RDC
Ordinateur Bureau,lenovo,thinkcentre,1,s1h0203x,RDC
Telephone IP,FANVIL,X303,1,0C383E4F110E,RDC
impriment,canon,i-sensys MF3010,1,ylm73875,RDC
Copieur,konca minolta,bizhub c454e,1,a5c0021044491,RDC
microphone,itc,t-521a,1,cf12010001010064,RDC
TV,Samsung,UA85CU800UXMV,1,08Y33K1WC00063V,RDC
TV,Samsung,UA85CU800UXMV,1,08Y33K1WC00271V,RDC
TV,Samsung,UA85CU800UXMV,1,08Y33K1WC00087V,RDC
Contrôle d’accès,zkteco,IN01,1,EJB8234700001,RDC
Vidéoprojecteur,EPSON,CO-W01,1,XBF43403959,Atelier Mécanique
Vidéoprojecteur,EPSON,CO-W01,1,XBF43403952,laboratoire Génie Civil
scanner,epson,ds1630,1,x2vx033760,Administration Bureau 1
impriment,canon,i-sensys MF3010,1,yma99553,Administration Bureau 2
compteur d'argent,deli,,1,REF:3905,Administration Bureau 3
Destructeur de Papier,comix,s3650,1,s3560e1c2090065,Administration Bureau 4
TPE,newland,,1,n7a405048354,Administration Bureau 5
Telephone IP,FANVIL,X5U-V2,1,0C383E32B1F9,Administration Bureau 6
tv,azatech,32s10s,1,a19323201003253212,Administration Bureau 7
Ordinateur mini,HP,elitedesk,1,8cg74809ps,Administration Bureau 8
impriment,hp,laser mfp 135w,1,cnb1p46fwk,Administration Bureau 2
scanner,hp,scanjetpro 2500f1,1,cn17ua10gw,Administration Bureau 3
Ordinateur portable,hp,elitebook 850 G3,1,5cj7383ns5,Administration Bureau 4
Telephone IP,FANVIL,X303,1,0C383E4F110C,Administration Bureau 5
Ordinateur portable,dell,latiyted 3510,1,hc8jzz2,Administration Bureau 6
impriment,canon,i-sensys MF3010,1,ylm72376,Administration Bureau 7
impriment,canon,i-sensys MF3010,1,ynk77264,Administration Bureau 8
pc portable,hp,elitebook 850 G3,1,5cj7420f0w,Administration Bureau 3
Telephone IP,FANVIL,X303,1,0C383E4F1111,Administration Bureau 4
pc portable,Dell,latitude e5550,1,czwsm72,Administration Bureau 5
impriment,canon,i-sensys MF3010,1,ymk77269,Administration Bureau 6
impriment,hp,laser mfp 135a,1,cnb1r61d8r,Administration Bureau 4
Telephone IP,FANVIL,X303,1,0C383E4F1114,Administration Bureau 5
Vidéoprojecteur,EPSON,CO-W01,1,xbf43403952,Administration Bureau 6
impriment,hp,laser jetentro m506,1,phbvg2c1cz,couloir d'administration
Ordinateur portable,hp,elitebook 850 G3,1,5cj7421105,couloir d'administration
Ordinateur Bureau,hp,compac elite 8300,1,czc31856s2,couloir d'administration
Telephone IP,FANVIL,X303,1,0C383E4F1109,couloir d'administration
Ordinateur portable,hp,elitebook 850 G3,1,5cj7420ccf,couloir d'administration
Copieur,konca minolta,bizhub 36,1,a3j0wy1000023,couloir d'administration
Apple,Imac,big sur 11.7.10,1,c02t30begq17,Salle de Controle
Ordinateur Bureau,hp,touchsmart 7320,1,czc2182876,Salle de Controle
tv,hisene,65a7g,1,3te65f21512801b1r490077,Salle de Controle
tv,hisene,65a7g,1,3te65f21512801b1r490080,Salle de Controle
Ordinateur mini,dell ,optiplix 5070,1,69xvnr2,Salle de Controle
Ordinateur mini,lenovo,thinkcentre,1,s4mt3564,Salle de Controle
panneau de commande d'alarme incendie,teletech electronics jsc,mag8plus,1,3891160280,Salle de Controle
pc portable,dell,latitude e5570,1,h7smrf2,Bureau 1er étage
pc portable,hp,elitebook 850 G3,1,cg7074cgz,Bureau 1er étage
impriment,hp,laserpro mfp 26nw,1,cbkl3h9xr,Bureau 1er étage
Telephone IP,FANVIL,X303,1,0C383E4F1113,Bureau 1er étage
Vidéoprojecteur,EPSON,EB-S05,1,X4G98600365,Salle 1-1
Vidéoprojecteur,EPSON,CO-W01,1,XBF43403965,Salle 1-2
Vidéoprojecteur,EPSON,EB-S05,1,X4G98600387,Salle 2-1
écran ,Fujitsu,B22W-6,1,yv3u582909,Salle 2-2
écran ,Fujitsu,B22W-6,1,yv3u582927,Salle 2-3
Ordinateur Bureau,lenovo,thinkcentre,1,S4E05537,Salle 2-4
impriment,canon,i-sensys MF237w,1,ygm95456,Bureau 2eme étage
Ordinateur portable,hp,elitebook 850 G3,1,5cg7420bvz,Bureau 2eme étage
impriment,canon,i-sensys MF3010,1,ymk76334,Bureau 2eme étage
Telephone IP,FANVIL,X303,1,0C383E4F1104,Bureau 2eme étage
impriment,hp ,colorlaser jetpro m255dw,1,vnc4551982,Bureau 2eme étage
scanner,hp,scanjetpro 2500f1,1,cn17wa10fv,Bureau 2eme étage
Ordinateur mini,lenovo,thinkcentre,1,s4mt3629,Bureau 2eme étage
TV,azatech,32s10s,1,a19323201003253203,Bureau 2eme étage
Ordinateur mini,lenovo,thinkcentre,1,s4mt3572,Bureau 2eme étage
TV,elexia,"LCD -TV 32""",1,863h2ig44,Bureau 2eme étage
Vidéoprojecteur,EPSON,EB-S05,1,X4G98600392,Salle 2-2
Vidéoprojecteur,EPSON,EB-E01,1,X88T1303747,Salle 2-3
Ordinateur portable,dell,latitude e5570,1,2t2yjc2,Bureau 3eme étage
Ordinateur portable,lenovo,thinkbook,1,lr0dkuq1,Bureau 3eme étage
Telephone IP,FANVIL,X303,1,0C383E4F110F,Bureau 3eme étage
Ordinateur portable,hp,probook,1,rcpin3113-1115,Bureau 3eme étage
Vidéoprojecteur,EPSON,EB-E0,1,X88T1303656,Salle 3-1
Ordinateur Bureau,dell,optiplix 3040,1,c914zg2,Salle 3-2
Ordinateur Bureau,dell,optiplix 3040,1,c974zg3,Salle 3-3
Ordinateur Bureau,dell,optiplix 3040,1,c910zf7,Salle 3-4
Ordinateur Bureau,dell,optiplix 3040,1,c914zg5,Salle 3-5
Ordinateur Bureau,dell,optiplix 3040,1,c914zg6,Salle 3-6
Ordinateur Bureau,dell,optiplix 3040,1,c914zg7,Salle 3-7
Ordinateur Bureau,dell,optiplix 3040,1,t3s4zg8,Salle 3-8
Ordinateur Bureau,dell,optiplix 3040,1,c914zg9,Salle 3-9
Ordinateur Bureau,dell,optiplix 3040,1,c914zg1,Salle 3-10
Ordinateur Bureau,dell,optiplix 3040,1,c994wt5,Salle 3-11
Ordinateur Bureau,dell,optiplix 3040,1,c911ds1,Salle 3-12
Ordinateur Bureau,dell,optiplix 3040,1,c344zg3,Salle 3-13
écran ,lenovo,LT2323pwA,1,V165856,Salle 3-14
écran ,lenovo,LT2323pwA,1,V165834,Salle 3-15
écran ,lenovo,LT2323pwA,1,V165858,Salle 3-16
écran ,lenovo,LT2323pwA,1,V165859,Salle 3-17
écran ,lenovo,LT2323pwA,1,V165860,Salle 3-18
écran ,lenovo,LT2323pwA,1,V165861,Salle 3-19
écran ,lenovo,LT2323pwA,1,V165893,Salle 3-20
écran ,lenovo,LT2323pwA,1,V165457,Salle 3-21
écran ,lenovo,LT2323pwA,1,V165813,Salle 3-22
écran ,lenovo,LT2323pwA,1,V165809,Salle 3-23
écran ,lenovo,LT2323pwA,1,V165863,Salle 3-24
